,,,,,,,,,,,,,,,,,,,
,2024 Bond,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,2025 Completion,, 2024 Levy Allocation , Board Approved Budget , Most Current Estimate ,Date, Board Budget Remainder , Levy Allocation Remainder ,,,,,,Boiler Priorities - https://drive.google.com/drive/folders/1ykHllcrHjBIzZWiPkIHYN8PHh-vP2t1G?usp=drive_link,,,
,Priority,Location,Project,Juristiction,,,,,,,Notes,,,,,Site,Year,Priority #,Notes
,001,EWH,Stadium ticket booth / gates,Lynnwood," $ 250,000.00 "," $ 60,000.00 "," $ 57,679.01 ", 1/14/2025 est ," $ 2,320.99 "," $ 190,000.00 ",,,,,,AECC,1965,current,"6-8w lead time for parts if failure; wooden dowel; oil leaks; pitting of tubes; leaks visible; in condensing, should not be; thermometer not working/inconsistent"
,002,HWE,Playground equipment,Sno. Co.," $ 350,000.00 "," $ 750,000.00 "," $ 666,762.46 ", 9/10/2025 Final ," $ 83,237.54 "," $ (400,000.00)",,,,,,EDE,1966,current,
,003,Varies,Intercoms,Varies," $ 1,500,000.00 ", $ -   , $ -   , Ref , $ -   ," $ 1,500,000.00 ",,,,,,SWE,1967,current,
,004,Varies,LED Lighting Retrofit,Varies," $ 3,250,000.00 "," $ 4,000,000.00 "," $ 2,746,256.73 ", change orders ," $ 1,253,743.27 "," $ (750,000.00)",LWH + EWH (12/16),,,,,BRE,1964,1,"exposed wires; wooden dowel; in condensing, should not be; pitting of tubes; gasket/valve leaks; HW Circ motor going out"
,006,EDE,Boiler / HVAC,Edmonds," $ 1,000,000.00 "," $ 500,000.00 "," $ 465,078.22 ", Hermanson Quote ," $ 34,921.78 "," $ 500,000.00 ",,,,,,HTE,1968,2,"in condensing, should not be; sooting; rear door needs replaced; outlived expectancy"
,,AECC,Boiler / HVAC,Sno. Co.," $ 1,000,000.00 "," $ 500,000.00 "," $ 473,352.00 ", CPO Estimate ," $ 26,648.00 "," $ 500,000.00 ",,,,,,HWE,1966,3,controller reached max cycle count; boiler past life expectancy
,005,SWE,Boiler / HVAC,Edmonds," $ 1,000,000.00 "," $ 500,000.00 "," $ 494,886.99 ", Hermanson Quote ," $ 5,113.01 "," $ 500,000.00 ",,,,,,MLE,1991?,4,Gordon Piatt burners are obsolete; controllers obsolete need replaced; boiler 2 showing signs of leaking
,020,TPE,Operable partitions,Mt. Lake Terrace," $ 250,000.00 "," $ 50,000.00 "," $ 170,000.00 ", Ref ," $ (120,000.00)"," $ 200,000.00 ",,,,,,MDH,1997,5,"motorized valve just laying on top of boiler casing; boiler 1 leaky tube; both show signs of condensing, should not be; both boilers show signs of water in tubes; obsolete warrick low water controls; need new probes; manway corroded boiler 1"
