AM Everybody Bathroom by the Gym,Most Current Budget,,12/16/2022 SD,8/7/2025 DD,9/11/2025
Total Approved Project Budget," $ 638,538.80 ",,,,
Base Bid Plus Alts:," $ 380,000.00 ",," $ 375,000.00 "," $ 355,000.00 "," $ 380,000.00 "
Construction Reserve (10%)," $ 38,000.00 ",," $ 42,900.00 "," $ 35,500.00 "," $ 38,000.00 "
Sales Tax (10.6%)," $ 44,308.00 ",,,,
Construction Cost Subtotal:," $ 462,308.00 ",,,,
CPO Management ," $ 46,230.80 ",,,,
Design Fee," $ 80,000.00 ",," $ 50,000.00 "," $ 80,000.00 ",
Permit and Other Cost," $ 50,000.00 ",, $ -   ," $ 50,000.00 ",
Other Cost Subtotal:," $ 176,230.80 ",,,,
Total Project Cost:," $ 638,538.80 ",,,,
Remainder, $ -   ,,,,
Most Current Date,8/7/2025 DD,,,,
,,,,,
AWM Special Ed Bathroom Speewest, Most Current Budget ,,6/9/2025,,
Total Approved Project Budget," $ 56,000.00 ",,,,
Base Bid Plus Alts:," $ 30,000.00 ",," $ 30,000.00 ",,
construction Reserve (10%)," $ 3,000.00 ",," $ 3,000.00 ",,
Sales Tax (10.5%)," $ 3,498.00 ",,,,
Construction Cost Subtotal:," $ 36,498.00 ",,,,
CPO Management (10%)," $ 3,649.80 ",,,,
Principal Stipends, $ -   ,,,,
Design, $ -   ,, $ -   ,,
Design Contigency, $ -   ,, $ -   ,,
Permit, $ -   ,, $ -   ,,
Alderwood Middle School Restroom," $ 15,000.00 ",," $ 15,000.00 ",,
Consultant 02, $ -   ,, $ -   ,,
Consultant 03, $ -   ,, $ -   ,,
Maintenance, $ -   ,, $ -   ,,
Custodial, $ -   ,, $ -   ,,
Other, $ -   ,, $ -   ,,
Other Cost Subtotal:," $ 18,649.80 ",,,,
Total Project Cost:," $ 55,147.80 ",,,,
Remainder, $ 852.20 ,,,,
Most Current Date, Most Current Budget ,,,,
,,,,,
AWM & MDM Track,Most Current Budget,,CPO Estimate,,
Total Approved Project Budget," $ 1,000,000.00 ",,,,
Base Bid Plus Alts:," $ 600,000.00 ",," $ 600,000.00 ",,
construction Reserve (10%)," $ 60,000.00 ",," $ 60,000.00 ",,
Sales Tax (10.5%)," $ 69,300.00 ",,,,
Construction Cost Subtotal:," $ 729,300.00 ",,,,
CPO Management (7%)," $ 51,051.00 ",,,,
Principal Stipends," $ 3,500.00 ",,,,
Design," $ 60,000.00 ",," $ 60,000.00 ",,
Design Contigency," $ 6,000.00 ",," $ 6,000.00 ",,
Permit," $ 25,000.00 ",," $ 25,000.00 ",,
Consultant 01," $ 50,000.00 ",," $ 50,000.00 ",,
Consultant 02," $ 25,000.00 ",," $ 25,000.00 ",,
Consultant 03," $ 10,000.00 ",," $ 10,000.00 ",,
Maintenance," $ 5,000.00 ",," $ 5,000.00 ",,
Custodial," $ 2,500.00 ",," $ 2,500.00 ",,
Other," $ 32,649.00 ",," $ 32,649.00 ",,
Other Cost Subtotal:," $ 270,700.00 ",,,,
Total Project Cost:," $ 1,000,000.00 ",,,,
Remainder, $ -   ,,,,
Most Current Date, CPO Estimate ,,,,
