,,,,,,,,,,,,,,
EDE  Boiler , Most Current Budget ,, CPO Estimate ,,8/10/24 eng est,nov rom pricing,Hermanson Quote,,,,,,,
Total Approved Project Budget," $ 500,000.00 ",,,,,,,,,,,,,
Base Bid Plus Alts:," $ 262,472.00 ",," $ 2,000,000.00 "," $ 1,500,000.00 "," $ 539,000.00 "," $ 250,000.00 "," $ 262,472.00 ",,,,,,,
Contigency (10%)," $ 26,247.20 ",," $ 200,000.00 "," $ 150,000.00 "," $ 53,900.00 "," $ 25,000.00 "," $ 26,247.20 ",,,,,,,
Sales Tax (10.4%)," $ 30,026.80 ",,,,,,,,,,,,,
Construction Cost Subtotal:," $ 318,746.00 ",,,,,,,,,,,,,
CPO Management (7%)," $ 22,312.22 ",,,,,,,,,,,,,
Principal Stipends," $ 3,500.00 ",,,,,,,,,,,,,
Hargis," $ 40,525.00 ",," $ 200,000.00 "," $ 55,000.00 ",," $ 40,525.00 "," $ 40,525.00 ",,,,,,,
Desing Contingency (10%)," $ 17,000.00 ",," $ 50,000.00 "," $ 17,000.00 ",,,,,,,,,6155,Mod #1
Permit," $ 5,000.00 ",," $ 10,000.00 "," $ 5,000.00 ",,,,,,,,,,
Comissioning (???)," $ 10,000.00 ",," $ 20,000.00 "," $ 10,000.00 ",,,,,,,,,33585,Pre
Hazmat (Terracon)," $ 4,475.00 ",," $ 150,000.00 "," $ 75,000.00 ",," $ 4,475.00 ",,,,,,,49200,CA
Abatement," $ 35,520.00 ",,,,," $ 50,000.00 "," $ 35,520.00 ",,,,,,,
Temp HVAC," $ 5,000.00 ",," $ 10,000.00 "," $ 5,000.00 ",,,,,,,,,,
Maintenance," $ 2,500.00 ",," $ 5,000.00 "," $ 2,500.00 ",,,,,,,,,,
Custodial, $ 500.00 ,," $ 1,000.00 ", $ 500.00 ,,,,,,,,,,
Other Cost Subtotal:," $ 146,332.22 ",,,,,,,,,,,,,
Total Project Cost:," $ 465,078.22 ",,,,,,,,,,,,,
Remainder," $ 34,921.78 ",,,,,,,,,,,,,
Most Current Date, Hermanson Quote ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
EDE Roof ,Most Current Budget,,Est,HKP estimate,4/16/2020 KCDA,4/23/2020 KCDA,12/4/2020,12/15/2020,2/18/2021,,,,,
Total Approved Project Budget," $ 2,100,000.00 ",,,,,,,,,,,,,
Base Bid Plus Alts:," $ 1,378,000.00 ",," $ 1,050,000.00 "," $ 1,390,613.00 "," $ 1,400,000.00 "," $ 1,378,000.00 ",,,,,,,,
Construction changes," $ 24,968.83 ",," $ 105,000.00 "," $ 139,061.30 ",," $ 137,800.00 "," $ 21,986.67 ",," $ 24,968.83 ",,,,,
Sales Tax (10.4%)," $ 145,908.76 ",,,,,,,,,,,,,
Construction Cost Subtotal:," $ 1,548,877.59 ",,,,,,,,,,,,,
CPO Management (7%)," $ 108,421.43 ",,,,,,,,,,,,,
Principal Stipends," $ 5,000.00 ",,,,,,,,,,,,,
HKP Phase #1," $ 33,585.00 ",," $ 33,585.00 ",,,,,,,,,,,
HKP Phase #2," $ 91,551.00 ",," $ 100,000.00 "," $ 91,551.00 ",,,,,,,,,6155,Mod #1
HKP Phase #3," $ 56,525.00 ",," $ 10,000.00 "," $ 50,000.00 ",," $ 49,200.00 "," $ 56,525.00 ",,,,,,85396,Mod # 2
Weatherholt and associated construction only," $ 32,000.00 ",," $ 24,850.00 ",,," $ 29,000.00 ",," $ 32,000.00 ",,,,,33585,Pre
PBS hazmat, $ -   ,," $ 15,000.00 ",,," $ 8,950.00 ",, $ -   ,,,,,49200,CA
Permit, $ -   ,," $ 25,000.00 ",," $ 1,071.00 ",,, $ -   ,,,,,,
Material Testing, $ -   ,," $ 5,000.00 ",,, $ 920.00 ,, $ -   ,,,,,,
Perkins Coie, $ -   ,," $ 5,000.00 ",,,, $ -   ,,,,,,,
Reprographics, $ -   ,," $ 5,000.00 ",,,, $ -   ,,,,,,,
Other Cost Subtotal:," $ 327,082.43 ",,,,,,,,,,,,,
Total Project Cost:," $ 1,875,960.02 ",,,,,,,,,,,,,
Remainder," $ 224,039.98 ",,,,,,,,,,,,,
Most Current Date, 4/23/2020 KCDA ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
EE Sign,Most Current Budget,,Foley Sign  5/20/15,D10 sign  6/3/15,Foley Sign  6/15/15,D10 Quote 1 6/23/15,D10 Quote 2 6/23/15,D10 Quote 3 6/23/15,D10 Quote 4 6/23/15,,,,,
Total Approved Project Budget," $ 12,000.00 ",,,,,,,,,,,,,
Base Bid Plus Alts:," $ 8,800.00 ",," $ 11,400.00 "," $ 11,800.00 "," $ 10,763.00 "," $ 8,800.00 "," $ 5,500.00 "," $ 6,300.00 "," $ 8,800.00 ",,,,,
Construction Reserve (10%), $ -   ,," $ 1,140.00 "," $ 1,180.00 "," $ 1,076.30 ", $ 880.00 , $ 550.00 , $ 630.00 , $ 880.00 , $ -   ,,,,
Sales Tax (9.5%), $ 836.00 ,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 9,636.00 ",,,,,,,,,,,,,
CPO Management (7%), $ 674.52 ,,,,,,,,,,,,,
Permit, $ 150.00 ,, $ 500.00 ,,,,,, $ 150.00 ,,,,,
Reprographics, $ 50.00 ,, $ 100.00 ,,,,,,, $ 50.00 ,,,,
Existing Sign Relocation, $ -   ,," $ 2,000.00 ",,,,,, $ -   ,,,,,
Other Cost Subtotal:, $ 874.52 ,,,,,,,,,,,,,
Total Project Cost:," $ 10,510.52 ",,,,,,,,,,,,,
Remainder," $ 1,489.48 ",,,,,,,,,,,,,
Most Current Date, D10 Quote 4 6/23/15 ,,,,,,,,,,,,,
