EWHS Stadium Ticket Booth Fence 2024 Bond Quality Builders,Most Current Budget,,1/14/2025 est,,,,,,,,,,,,,
Total Approved Project Budget," $ 60,000.00 ",,,,,,,,,,,,,,,
Base Bid," $ 37,410.00 ",," $ 37,410.00 ",,,,,,,,,,,,,
Construction Contingency (10%)," $ 10,000.00 ",," $ 10,000.00 ",,,,,,,,,,,,,
Sales Tax (10.6%)," $ 5,025.46 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 52,435.46 ",,,,,,,,,,,,,,,
CPO Management (10%)," $ 5,243.55 ",,,,,,,,,,,,,,,
A/E Fee , $ -   ,, $ -   ,,,,,,,,,,,,,
Access Controls with SSNW, $ -   ,, $ -   ,,,,,,,,,,,,,
Permit, $ -   ,, $ -   ,,,,,,,,,,,,,
Other Cost Subtotal:," $ 5,243.55 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 57,679.01 ",,,,,,,,,,,,,,,
Remainder," $ 2,320.99 ",,,,,,,,,,,,,,,
Most Current Date,1/14/2025 est,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWHS Theater Sound Board Repalcement ,Most Current Budget,,1/14/2025,,,,,,,,,,,,,
Total Approved Project Budget," $ 9,219.03 ",,,,,,,,,,,,,,,
Base Bid," $ 6,888.82 ",," $ 6,888.82 ",,,,,,,,,,,,,
Construction Contingency (10%), $ 688.88 ,, $ 688.88 ,,,,,,,,,,,,,
Sales Tax (10.6%), $ 803.24 ,,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 8,380.94 ",,,,,,,,,,,,,,,
CPO Management (10%), $ 838.09 ,,,,,,,,,,,,,,,
A/E Fee , $ -   ,, $ -   ,,,,,,,,,,,,,
Access Controls with SSNW, $ -   ,, $ -   ,,,,,,,,,,,,,
Permit, $ -   ,, $ -   ,,,,,,,,,,,,,
Other Cost Subtotal:, $ 838.09 ,,,,,,,,,,,,,,,
Total Project Cost:," $ 9,219.03 ",,,,,,,,,,,,,,,
Remainder, $ (0.00),,,,,,,,,,,,,,,
Most Current Date,1/14/2025,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWH LED Lighting Retrofit,Most Current Budget,,CPO Estimate,without controls 12/16/24,quote 5/21/25,quote 6/2,,,,,,,,,,
Total Approved Project Budget," $ 1,000,000.00 ",,,,,,,,,,,,,,,
Base Bid Plus Alts:," $ 1,182,705.11 ",," $ 800,000.00 "," $ 920,860.33 "," $ 1,005,519.43 "," $ 1,182,705.11 ",,,,,,,,,,
Construction Reserve (10%)," $ 118,270.51 ",," $ 80,000.00 "," $ 92,086.03 "," $ 100,551.94 "," $ 118,270.51 ",,,,,,,,,,
Sales Tax (10.6%)," $ 137,903.42 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 1,438,879.04 ",,,,,,,,,,,,,,,
CPO Management (8%)," $ 115,110.32 ",,,,,,,,,,,,,,,
Principal Stipends," $ 5,000.00 ",,,,,,,,,,,,,,,
Design," $ 50,000.00 ",," $ 40,000.00 "," $ 50,000.00 ",,,,,,,,,,,,
Design Contigency," $ 5,000.00 ",," $ 5,000.00 "," $ 5,000.00 ",,,,,,,,,,,,
Permit," $ 3,500.00 ",," $ 2,500.00 "," $ 3,500.00 ",,,,,,,,,,,,
Maintenance," $ 7,000.00 ",," $ 5,000.00 "," $ 7,000.00 ",,,,,,,,,,,,
Custodial," $ 3,500.00 ",," $ 2,500.00 "," $ 3,500.00 ",,,,,,,,,,,,
Other," $ 20,000.00 ",," $ 15,000.00 "," $ 20,000.00 ",,,,,,,,,,,,
Other Cost Subtotal:," $ 209,110.32 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 1,647,989.36 ",,,,,,,,,,,,,,,
Remainder," $ (647,989.36)",,,,,,,,,,,,,,,
Most Current Date,quote 6/2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWHS Vestibule Improvement 2020 Safety and Security ,Most Current Budget,,10/2/2024,,,,,,,,,,,,,
Total Approved Project Budget," $ 104,205.81 ",,,,,,,,,,,,,,,
Base Bid," $ 61,801.00 ",," $ 61,801.00 ",,,,,,,,,,,,,
Construction Contingency (10%)," $ 6,180.10 ",," $ 6,180.10 ",,,,,,,,,,,,,
Sales Tax (10.6%)," $ 7,206.00 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 75,187.10 ",,,,,,,,,,,,,,,
CPO Management (10%)," $ 7,518.71 ",,,,,,,,,,,,,,,
A/E Fee ," $ 5,000.00 ",," $ 5,000.00 ",,,,,,,,,,,,,
Access Controls with SSNW," $ 10,000.00 ",," $ 10,000.00 ",,,,,,,,,,,,,
Permit," $ 6,500.00 ",," $ 6,500.00 ",,,,,,,,,,,,,
Other Cost Subtotal:," $ 29,018.71 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 104,205.81 ",,,,,,,,,,,,,,,
Remainder, $ 0.00 ,,,,,,,,,,,,,,,
Most Current Date,10/2/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWHS DDC Control Replacement Phase # 2 2020 levy Tech Eq,Most Current Budget,,5/28/2024,,,,,,,,,,,,,
Total Approved Project Budget," $ 259,045.65 ",,,,,,,,,,,,,,,
Graphic and 4 JACE Replacement," $ 193,569.00 ",," $ 193,569.00 ",,,,,,,,,,,,,
Construction Contingency (10%)," $ 19,356.90 ",," $ 19,356.90 ",,,,,,,,,,,,,
Sales Tax (10.6%)," $ 22,570.15 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 235,496.05 ",,,,,,,,,,,,,,,
CPO Management (10%)," $ 23,549.60 ",,,,,,,,,,,,,,,
A/E Fee , $ -   ,, $ -   ,,,,,,,,,,,,,
1% Contingency, $ -   ,, $ -   ,,,,,,,,,,,,,
, $ -   ,, $ -   ,,,,,,,,,,,,,
Other Cost Subtotal:," $ 23,549.60 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 259,045.65 ",,,,,,,,,,,,,,,
Remainder, $ 0.00 ,,,,,,,,,,,,,,,
Most Current Date,5/28/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DHH Intercom at EWHS 2020 Levy,Most Current Budget,,6/5/2024 Full Meal,6/5/2024 option 1,Final 6/11/2024 Board Option,8/19/2024 Final,,,,,,,,,,
Total Approved Project Budget," $ 682,908.37 ",,,,,,,,,,,,,,,
Total Cost," $ 469,427.00 ",," $ 662,084.81 "," $ 525,939.15 "," $ 480,406.18 "," $ 469,427.00 ",,,,,,,,,,
Construction Contingency (10%) or (5% on 6/5/2024)," $ 46,427.70 ",," $ 66,208.48 "," $ 26,296.96 "," $ 48,040.62 "," $ 46,427.70 ",,,,,,,,,,
Sales Tax (10.6%)," $ 54,680.60 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 570,535.30 ",,,,,,,,,,,,,,,
CPO Management (10%)," $ 57,053.53 ",,,,,,,,,,,,,,,
A/E Fee," $ 34,990.00 ",," $ 30,000.00 "," $ 25,000.00 "," $ 40,000.00 "," $ 34,990.00 ",,,,,,,,,,
Rerun Electrical + penetrations, $ -   ,, $ -   ,,,,,,,,,,,,,
Stipend," $ 5,000.00 ",, $ -   ,," $ 5,000.00 ",,,,,,,,,,,
Custodial, $ -   ,, $ -   ,,,,,,,,,,,,,
Other Cost Subtotal:," $ 97,043.53 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 667,578.83 ",,,,,,,,,,,,,,,
Approved Budget vs Total Project Budget," $ 15,329.54 ",,,,,,,,,,,,,,,
"OSPI Grant $ 100,000"," $ 100,000.00 ",,,,,,,,,,,,,,,
Remaining Cost - OSPI Grant," $ 567,578.83 ",,,,,,,,,,,,,,,
Tech /CPO Contribute," $ 283,789.41 ",,,,,,,,,,,"$567,578.83",,,,
Most Current Date,Final 6/11/2024 Board Option,,,,,,,,,,,"$283,789.41",,,,
,,,,,,,,,,,,,,,,
ESD Woodway High School Multi Purpose Building 2021 Levy,Most Current Budget,,8/26/2024 est,11/15/2024 est,5/20/2025 Bid,,,,,,,,,,,
Total Approved Project Budget," $ 7,500,000.00 ",,,,,,,,,,,,,,,
Building Basebid," $ 3,940,792.50 ",," $ 4,232,675.00 "," $ 4,443,859.00 "," $ 3,940,792.50 ",,,,,,,,,,,
Construction Contingency (10%)," $ 444,385.00 ",," $ 423,267.50 "," $ 444,385.00 "," $ 394,792.00 ",,,,,,,,,,,
Sales Tax (10.5%)," $ 460,443.64 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 4,845,621.14 ",,,,,,,,,,,,,,,
CPO Management (10%)," $ 484,562.11 ",,,,,,,,,,,,,,,
A/E Fee," $ 540,315.00 ",," $ 500,000.00 ",," $ 540,315.00 ",,,,,,,,,,,
Design Contingency," $ 25,000.00 ",," $ 25,000.00 ",,,,,,,,,,,,,
Testing/Geotech," $ 62,685.00 ",," $ 50,000.00 ",," $ 62,685.00 ",,,,,,,,,,,
Perkins Coie," $ 25,000.00 ",," $ 25,000.00 ",,,,,,,,,,,,,
FF and E," $ 90,000.00 ",," $ 50,000.00 "," $ 200,000.00 "," $ 90,000.00 ",,,,,,,,,,,
Bleacher KCDA," $ 268,304.00 ",," $ 350,000.00 "," $ 268,304.00 ",,,,,,,,,,,,
Maintenance," $ 5,000.00 ",," $ 5,000.00 ",,,,,,,,,,,,,
Permit," $ 150,000.00 ",," $ 30,000.00 ",," $ 150,000.00 ",,,,,,,,,,,
Other Cost Subtotal:," $ 1,650,866.11 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 6,496,487.25 ",,,,,,,,,,,,,,,
Remainder," $ 1,003,512.75 ",,,,,,,,,,,,,,,
Most Current Date,11/15/2024 est,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWHS DDC Control Replacement Phase # 2,Most Current Budget,,9/06/22 Quote,,,,,,,,,,,,,
Total Approved Project Budget," $ 700,000.00 ",,,,,,,,,,,,,,,
Graphic and 4 JACE Replacement," $ 463,936.00 ",," $ 463,936.00 ",,,,,,,,,,,,,
Construction Contingency (10%)," $ 46,393.60 ",," $ 46,393.60 ",,,,,,,,,,,,,
Sales Tax (10.5%)," $ 53,584.61 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 563,914.21 ",,,,,,,,,,,,,,,
CPO Management (10%)," $ 56,391.42 ",,,,,,,,,,,,,,,
A/E Fee," $ 22,300.00 ",," $ 22,300.00 ",,,,,,,,,,,,,
Rerun Electrical + penetrations," $ 35,000.00 ",," $ 35,000.00 ",,,,,,,,,,,,,
Maintenance," $ 2,500.00 ",," $ 2,500.00 ",,,,,,,,,,,,,
Custodial, $ 500.00 ,, $ 500.00 ,,,,,,,,,,,,,
Other Cost Subtotal:," $ 116,691.42 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 680,605.63 ",,,,,,,,,,,,,,,
Remainder," $ 19,394.37 ",,,,,,,,,,,,,,,
Most Current Date,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWHS DDC Control Replacement Phase # 1,Most Current Budget,,12/11/2020,12/15/2020 update,10/11/22 correction,,,,,,,,,,,
Total Approved Project Budget," $ 200,000.00 ",,,,,,,,,,,,,,,
Graphic and 4 JACE Replacement," $ 147,300.00 ",," $ 166,092.00 "," $ 147,300.00 ",,,,,,,,,,,,
Construction Contingency (10%)," $ 5,200.00 ",," $ 16,609.20 "," $ 14,800.00 "," $ 5,200.00 ",,,,,,,,,,,
Sales Tax (10.5%)," $ 16,012.50 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 168,512.50 ",,,,,,,,,,,,,,,
CPO Management (10%)," $ 16,851.25 ",,,,,,,,,,,,,,,
A/E Fee , $ -   ,, $ -   ,,,,,,,,,,,,,
1% Contingency, $ -   ,, $ -   ,,,,,,,,,,,,,
, $ -   ,, $ -   ,,,,,,,,,,,,,
Other Cost Subtotal:," $ 16,851.25 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 185,363.75 ",,,,,,,,,,,,,,,7
Remainder," $ 14,636.25 ",,,,,,,,,,,,,,,
Most Current Date,12/15/2020 update,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWH Great Hall Sound ,Most Current Budget,,4/25/2020 quote,10/11/22 correction,,,,,,,,,,,,
Total Approved Project Budget," $ 45,000.00 ",,,,,,,,,,,,,,,
Base Bid Plus Alts:," $ 35,226.54 ",," $ 35,226.54 ",,,,,,,,,,,,,
Construction Contingency (10%), $ -   ,," $ 3,522.65 ", $ -   ,,,,,,,,,,,,
Sales Tax (10.5%)," $ 3,698.79 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 38,925.33 ",,,,,,,,,,,,,,,
CPO Management (8%)," $ 2,000.00 ",,,,,,,,,,,,,,,
A/E Fee , $ -   ,, $ -   ,,,,,,,,,,,,,
1% Contingency, $ -   ,, $ -   ,,,,,,,,,,,,,
," $ 1,000.00 ",, $ -   ," $ 1,000.00 ",,,,,,,,,,,,
Other Cost Subtotal:," $ 3,000.00 ",,,,,,,,,,,,,,,
Total Project Cost:," $ 41,925.33 ",,,,,,,,,,,,,,,
Remainder," $ 3,074.67 ",,,,,,,,,,,,,,,
Most Current Date,10/11/22 correction,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EWH Weight Room Floor,Most Current Budget,,CPO Estimate,12/3/2022,5/4/2023 update,,,,,,,,,,,
Total Approved Project Budget," $ 50,000.00 ",,,,,,,,,,,,,,,
Base Bid Plus Alts:," $ 61,409.20 ",," $ 30,000.00 "," $ 61,409.20 ",,,,,,,,,,,,
construction Reserve (10%)," $ 6,140.92 ",," $ 3,000.00 "," $ 6,140.92 ",,,,,,,,,,,,
Sales Tax (10.6%)," $ 7,160.31 ",,,,,,,,,,,,,,,
Construction Cost Subtotal:," $ 74,710.43 ",,,,,,,,,,,,,,,
CPO Management (10%)," $ 7,471.04 ",,,,,,,,,,,,,,,
Principal Stipends, $ -   ,,,,,,,,,,,,,,,
Design, $ -   ,," $ 3,000.00 ", $ -   ,,,,,,,,,,,,
