,,,,,,
FAM Seismic (5000 Funds),Most Current Budget,,CPO Estimate,6/6/23 bid,8/23/23 mod,5/10/24 Final
Total Approved Project Budget," $ 3,000,000.00 ",,,,,
Base Bid Plus Alts:," $ 1,355,325.25 ",," $ 2,885,856.00 "," $ 1,198,009.00 ",," $ 1,355,325.25 "
construction Reserve (10%), $ -   ,," $ 288,585.60 "," $ 119,800.90 ",, $ -   
Sales Tax (10.5%)," $ 142,309.15 ",,,,,
Construction Cost Subtotal:," $ 1,497,634.40 ",,,,,
CPO Management (10%)," $ 149,763.44 ",,,,,
Design (Green Gasaway)," $ 266,708.00 ",," $ 250,000.00 ",," $ 266,708.00 ",
Design Contigency, $ -   ,," $ 25,000.00 ", $ -   ,,
Permit," $ 50,000.00 ",," $ 50,000.00 ",,,
"Structural (CPL, in spruce)", $ -   ,, $ -   ,,,
"Haz Mat (Terracon, in spruce)", $ -   ,, $ -   ,,,
roofing allowances / MDH, $ -   ,," $ 1,500,000.00 "," $ 500,000.00 ",, $ -   
Unexplored MEP Allowance, $ -   ,," $ 250,000.00 ",,, $ -   
Haz MAt," $ 15,000.00 ",," $ 15,000.00 ",,,
Special Inspections," $ 15,000.00 ",," $ 15,000.00 ",,,
Carpet," $ 133,003.00 ",," $ 150,000.00 ",,," $ 133,003.00 "
Maintenance," $ 1,000.00 ",," $ 5,000.00 ",,," $ 1,000.00 "
Custodial," $ 1,500.00 ",," $ 1,500.00 ",,,
Other, $ 500.00 ,, $ 500.00 ,,,
Other Cost Subtotal:," $ 632,474.44 ",,,,,
Total Project Cost:," $ 2,130,108.84 ",,,,,
Remainder," $ 869,891.16 ",,,,,
Most Current Date,6/6/23 bid,,,,,
,,,,,,
Total Approved Project Budget," $ 40,000.00 ",,,,,
Base Bid Plus Alts:," $ 28,188.00 ",," $ 50,000.00 "," $ 28,188.00 ",,
construction Reserve (10%)," $ 5,000.00 ",," $ 5,000.00 "," $ 5,000.00 ",,
Sales Tax (10.5%)," $ 3,484.74 ",,,,,
Construction Cost Subtotal:," $ 36,672.74 ",,,,,
CPO Management (7%)," $ 2,567.09 ",,,,,
Principal Stipends, $ -   ,,,,,
Design, $ -   ,, $ -   , $ -   ,,
Design Contigency, $ -   ,, $ -   , $ -   ,,
Permit, $ -   ,, $ -   , $ -   ,,
Consultant 01, $ -   ,, $ -   , $ -   ,,
Consultant 02, $ -   ,, $ -   , $ -   ,,
Consultant 03, $ -   ,, $ -   , $ -   ,,
Maintenance, $ -   ,, $ -   , $ -   ,,
Custodial, $ -   ,, $ -   , $ -   ,,
Other, $ 600.00 ,, $ -   , $ -   , $ 600.00 ,
Other Cost Subtotal:," $ 3,167.09 ",,,,,
Total Project Cost:," $ 39,839.83 ",,,,,
Remainder, $ 160.17 ,,,,,
Most Current Date,,,,,,
