,,,,
HTE Field/Playground (21 LEVY), Most Current Budget ,,12/3/2022 Est,2/16/2023 update
Total Approved Project Budget," $ 500,000.00 ",,,
Base Bid Plus Alts:," $ 484,473.28 ",," $ 500,000.00 "," $ 484,473.28 "
Construction Reserve (10%)," $ 40,000.00 ",," $ 50,000.00 "," $ 40,000.00 "
Sales Tax (10.6%)," $ 55,594.17 ",,,
Construction Cost Subtotal:," $ 580,067.45 ",,,
CPO Management (10%)," $ 58,006.74 ",,,
Hazmat, $ -   ,, $ -   , $ -   
Custodian, $ -   ,, $ -   , $ -   
Arch/Eng," $ 40,000.00 ",, $ -   ," $ 40,000.00 "
Permit," $ 10,000.00 ",, $ -   ," $ 10,000.00 "
Principle Stipend ," $ 1,500.00 ",, $ -   ," $ 1,500.00 "
, $ -   ,, $ -   , $ -   
Other Cost Subtotal:," $ 109,506.74 ",,,
Total Project Cost:," $ 689,574.19 ",,,
Remainder," $ (189,574.19)",,,
Most Current Date,2/16/2023 update,,,
,,,,
,,,,
THE Floor,Most Current Budget,,2/11/16 est,
Total Approved Project Budget," $ 250,000.00 ",,,
Base Bid Plus Alts:," $ 167,471.46 ",," $ 167,471.46 ",
Construction Reserve (10%)," $ 16,747.15 ",," $ 16,747.15 ",
Sales Tax (9.5%)," $ 17,500.77 ",,,
Construction Cost Subtotal:," $ 201,719.37 ",,,
CPO Management (7%)," $ 14,120.36 ",,,
Hazmat, $ -   ,," $ 10,000.00 ", $ -   
Custodian," $ 2,500.00 ",," $ 2,500.00 ",
, $ -   ,, $ -   ,
, $ -   ,, $ -   ,
, $ -   ,, $ -   ,
, $ -   ,, $ -   ,
Other Cost Subtotal:," $ 16,620.36 ",,,
Total Project Cost:," $ 218,339.73 ",,,
Remainder," $ 31,660.27 ",,,
Most Current Date, 2/11/16 est ,,,
