New Maint/Trans Scinario 1.8,Most Current Budget,,4/24/2020 Nick Chou ,5/15/2020,7/16/2020
Total Approved Project Budget," $ 597,238.67 ",,,,
Base Bid ," $ 340,209.00 ",," $ 400,000.00 "," $ 343,875.00 "," $ 340,209.00 "
Construction Contigency 10% ," $ 34,002.00 ",," $ 40,000.00 "," $ 34,387.50 "," $ 34,002.00 "
Sales Tax (10.5%)," $ 39,292.16 ",,,,
Construction Cost Subtotal:," $ 413,503.16 ",,,,
CPO Management 7%," $ 28,945.22 ",,,,
Architect," $ 84,982.00 ",," $ 70,000.00 "," $ 84,982.00 ",
A& E Contigency," $ 5,018.00 ",," $ 10,000.00 "," $ 5,018.00 ",
Geo Tech ," $ 5,000.00 ",," $ 10,000.00 "," $ 5,000.00 ",
Permit Fee," $ 20,000.00 ",," $ 20,000.00 ",,
Perkins Coie," $ 5,000.00 ",," $ 10,000.00 "," $ 5,000.00 ",
Commission ," $ 10,000.00 ",," $ 10,000.00 "," $ 10,000.00 ",
Material Testing," $ 5,000.00 ",," $ 10,000.00 "," $ 5,000.00 ",
Other Misc Cost Bids," $ 15,000.00 ",," $ 10,000.00 "," $ 15,000.00 ",
Other Cost Subtotal:," $ 178,945.22 ",,,,
Total Project Cost:," $ 592,448.38 ",,,,
Remainder," $ 4,790.29 ",,,,
Most Current Date,15-May,,,,
,,,,,
"2N Devices, Camera at Maint/Trans 2021",Most Current Budget,,1/21/2021,,
Total Approved Project Budget," $ 9,099.66 ",,,,
"Materials Cameras, 2 N Devieces and Cisco Phone"," $ 6,244.04 ",," $ 6,244.04 ",,
Maint Work, $ -   ,, $ -   ,,
Sales Tax (10.5%), $ 655.62 ,,,,
Construction Cost Subtotal:," $ 6,899.66 ",,,,
CPO Management (7%), $ -   ,,,,
Permit," $ 1,200.00 ",," $ 1,200.00 ",,
Maint Work," $ 1,000.00 ",," $ 1,000.00 ",,
Other Cost Subtotal:," $ 2,200.00 ",,,,
Total Project Cost:," $ 9,099.66 ",,,,
Remainder, $ (0.00),,,,
Most Current Date,1/21/2021,,,,
