,,,,,
2020 Partnership,Most Current Budget,,CPO Estimate,9/24/2024 SWE Picnic Tables,9/24/2024 Terrace Park Window Shade
Total Approved Project Budget," $ 500,000.00 ",,,,
Base Bid Plus Alts:," $ 8,553.68 ",," $ 330,000.00 "," $ 6,853.68 "," $ 8,553.68 "
construction Reserve (10%), $ -   ,," $ 33,000.00 ", $ -   , $ -   
Sales Tax (10.6%), $ 906.69 ,,,,
Construction Cost Subtotal:," $ 9,460.37 ",,,,
CPO Management (10%), $ 94.60 ,,,,
Principal Stipends, $ -   ,,,,
Design, $ -   ,, $ -   ,,
Design Contingency, $ -   ,, $ -   ,,
Permit, $ -   ,, $ -   ,,
Consultant 01, $ -   ,, $ -   ,,
Consultant 02, $ -   ,, $ -   ,,
Consultant 03, $ -   ,, $ -   ,,
Maintenance, $ -   ,, $ -   ,,
Scott's Electric," $ 2,500.00 ",, $ -   ,," $ 2,500.00 "
Other," $ (2,000.00)",, $ -   ," $ (1,000.00)"," $ (2,000.00)"
Other Cost Subtotal:, $ 594.60 ,,,,
Total Project Cost:," $ 10,054.97 ",,,,
Remainder," $ 489,945.03 ",,,,
Most Current Date, 9/24/2024 Terrace Park Window Shade ,,,,
