Sherwood El Picnic Table Phase # 2,Most Current Budget,,,6/25/2025,,,,
Total Approved Project Budget," $ 9,065.49 ",,,,,,,
Base Bid Plus Alts:," $ 7,451.50 ",, $ -   ," $ 7,451.50 ",,,,
Construction Reserve (10%), $ -   ,, $ -   , $ -   ,,,,
Sales Tax (10.6%), $ 789.86 ,,,,,,,
Construction Cost Subtotal:," $ 8,241.36 ",,,,,,,
CPO Management 10%, $ 824.14 ,,,,,,,
permit, $ -   ,, $ -   , $ -   ,,,,
Temporary fence, $ -   ,, $ -   , $ -   ,,,,
Arch/Eng, $ -   ,, $ -   , $ -   ,,,,
Maintenance, $ -   , . , $ -   , $ -   ,,,,
Other Cost Subtotal:, $ 824.14 ,,,,,,,
Total Project Cost:," $ 9,065.49 ",,,,,,,
Includes PTA Contribution," $ 4,000.00 ",,,,,,,
ESC Contribution," $ 5,065.49 ",,,,,,,
Most Current Date,6/25/2025,,,,,,,
,,,,,,,,
,,,,,,,,
SWE Boiler , Most Current Budget ,, CPO Estimate ,,8/10/24 eng est,Nov Rom Pricing,Hermanson Quote,
Total Approved Project Budget," $ 500,000.00 ",,,,,,,
Base Bid Plus Alts:," $ 289,715.00 ",," $ 2,000,000.00 "," $ 1,500,000.00 "," $ 492,000.00 "," $ 250,000.00 "," $ 289,715.00 ",
Contigency (10%)," $ 28,971.50 ",," $ 200,000.00 "," $ 150,000.00 "," $ 49,200.00 "," $ 25,000.00 "," $ 28,971.50 ",
Sales Tax (10.4%)," $ 33,143.40 ",,,,,,,
Construction Cost Subtotal:," $ 351,829.90 ",,,,,,,
CPO Management (7%)," $ 24,628.09 ",,,,,,,
Principal Stipends," $ 3,500.00 ",,,,,,,
Hargis," $ 40,525.00 ",," $ 200,000.00 "," $ 55,000.00 ",," $ 40,525.00 ",,
Desing Contingency (using 3%)," $ 17,000.00 ",," $ 50,000.00 "," $ 17,000.00 ",,,,
Permit," $ 5,000.00 ",," $ 10,000.00 "," $ 5,000.00 ",,,,
Comissioning (???)," $ 10,000.00 ",," $ 20,000.00 "," $ 10,000.00 ",,,,
Hazmat (Terracon)," $ 4,475.00 ",," $ 150,000.00 "," $ 75,000.00 ",," $ 4,475.00 ",,
Abatement," $ 29,929.00 ",,,,," $ 50,000.00 "," $ 29,929.00 ",
Temp HVAC," $ 5,000.00 ",," $ 10,000.00 "," $ 5,000.00 ",,,,
Maintenance," $ 2,500.00 ",," $ 5,000.00 "," $ 2,500.00 ",,,,
Custodial, $ 500.00 ,," $ 1,000.00 ", $ 500.00 ,,,,
Other Cost Subtotal:," $ 143,057.09 ",,,,,,,
Total Project Cost:," $ 494,886.99 ",,,,,,,
Remainder," $ 5,113.01 ",,,,,,,
Most Current Date, Hermanson Quote ,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SWE Playground (21 Levy),Most Current Budget,,12/3/2022,2/16/2023,,,,
Total Approved Project Budget," $ 500,000.00 ",,,,,,,
Base Bid Plus Alts:," $ 451,690.27 ",," $ 400,000.00 "," $ 451,690.27 ",,,,
Construction Reserve (10%)," $ 45,169.02 ",," $ 40,000.00 "," $ 45,169.02 ",,,,
Sales Tax (10.5%)," $ 52,170.23 ",,,,,,,
Construction Cost Subtotal:," $ 549,029.52 ",,,,,,,
CPO Management 10%," $ 54,902.95 ",,,,,,,
permit," $ 10,000.00 ",, $ -   ," $ 10,000.00 ",,,,
Temporary fence, $ -   ,, $ -   ,,,,,
Arch/Eng," $ 40,000.00 ",," $ 30,000.00 "," $ 40,000.00 ",,,,
Prints for Presentation, $ -   , . , $ -   ,,,,,
Other Cost Subtotal:," $ 104,902.95 ",,,,,,,
Total Project Cost:," $ 653,932.47 ",,,,,,,
Diff," $ (153,932.47)",,,,,,,
Most Current Date,2/16/2023,,,,,,,
,,,,,,,,
SWE Playground Final 2022,Most Current Budget,,11/22/2021,12/15/2021,12/20/2022,2/13/2022,,
Total Approved Project Budget," $ 95,402.23 ",,,,,,,
Base Bid Plus Alts:," $ 67,441.89 ",," $ 55,000.00 "," $ 84,756.47 "," $ 64,867.30 "," $ 67,441.89 ",,
Construction Reserve (10%)," $ 7,000.00 ",," $ 5,500.00 "," $ 8,475.64 "," $ 6,488.00 "," $ 7,000.00 ",,
Sales Tax (10.4%)," $ 7,741.96 ",,,,,,,
Construction Cost Subtotal:," $ 82,183.85 ",,,,,,,
CPO Management 10%," $ 8,218.38 ",,,,,,,
permit," $ 3,500.00 ",," $ 3,000.00 "," $ 3,500.00 "," $ 3,500.00 ",,,
Temporary fence, $ 500.00 ,," $ 2,000.00 ", $ 500.00 , $ 500.00 ,,,
design contigency," $ 1,000.00 ",," $ 2,000.00 "," $ 2,278.93 "," $ 1,000.00 ",,,
Prints for Presentation, $ -   , . , $ 500.00 , $ 500.00 , $ -   ,,,
Other Cost Subtotal:," $ 13,218.38 ",,,,,,,
Total Project Cost:," $ 95,402.23 ",,,,,,,
Remainder, $ (0.00),,,,,,,
SWE PTA 50%," $ 47,701.12 ",,,,,,,
ESD Partnership 50%," $ 47,701.12 ",,,,,,,
Most Current Date,2/13/2022,,,,,,,
,,,,,,,,
SWE Playground 2A 2022,Most Current Budget,,11/22/2021,12/15/2021,12/20/2021,,,
Total Approved Project Budget," $ 126,385.74 ",,,,,,,
Base Bid Plus Alts:," $ 90,868.47 ",," $ 55,000.00 "," $ 84,756.47 "," $ 90,868.47 ",,,
Construction Reserve (10%)," $ 9,086.85 ",," $ 5,500.00 "," $ 8,475.64 "," $ 9,086.85 ",,,
Sales Tax (10.4%)," $ 10,395.35 ",,,,,,,
Construction Cost Subtotal:," $ 110,350.67 ",,,,,,,
CPO Management 10%," $ 11,035.07 ",,,,,,,
permit," $ 3,500.00 ",," $ 3,000.00 "," $ 3,500.00 ",,,,
Temporary fence, $ 500.00 ,," $ 2,000.00 ", $ 500.00 ,,,,
design contigency," $ 1,000.00 ",," $ 2,000.00 "," $ 2,278.93 "," $ 1,000.00 ",,,
Prints for Presentation, $ -   , . , $ 500.00 , $ 500.00 , $ -   ,,,
Other Cost Subtotal:," $ 16,035.07 ",,,,,,,
Total Project Cost:," $ 126,385.74 ",,,,,,,
Remainder, $ (0.00),,,,,,,
SWE PTA 50%," $ 63,192.87 ",,,,,,,
ESD Partnership 50%," $ 63,192.87 ",,,,,,,
Most Current Date,12/20/2021,,,,,,,
,,,,,,,,
SWE Gym Divider,Most Current Budget,,4/24/2020,6/4/2020,6/8/2020,,,
Total Approved Project Budget," $ 50,000.00 ",,,,,,,
Base Bid Plus Alts:," $ 33,560.00 ",," $ 80,000.00 "," $ 34,902.40 "," $ 33,560.00 ",,,
Change orders, $ -   ,," $ 8,000.00 "," $ 5,000.00 ", $ -   ,,,
Sales Tax (10.5%)," $ 3,523.80 ",,,,,,,
Construction Cost Subtotal:," $ 37,083.80 ",,,,,,,
CPO Management (7%)," $ 2,595.87 ",,,,,,,
Other Cost  , $ -   ,," $ 5,000.00 ", $ 864.09 , $ -   ,,,
Enviromental Consultants, $ -   ,," $ 2,000.00 "," $ 2,000.00 ", $ -   ,,,
Other Cost Subtotal:," $ 2,595.87 ",,,,,,,
Total Project Cost:," $ 39,679.67 ",,,,,,,
Remainder," $ 10,320.33 ",,,,,,,
Most Current Date, Most Current Budget ,,,,,,,
,,,,,,,,
SWE Traffic & Ped Safety,Most Current Budget,,9/15/14 Pre,1/21/14 Est,5/28/15 Est,6/01/15 Bid,10/6/15 Update,12/17/15 Final
Total Approved Project Budget," $ 1,200,000.00 ",,,,,,,
Base Bid Plus Alts:," $ 712,550.00 ",," $ 590,000.00 "," $ 750,000.00 "," $ 723,250.00 "," $ 712,550.00 ",,
Construction Reserve (12%)," $ 128,371.84 ",," $ 59,000.00 "," $ 90,000.00 "," $ 86,790.00 "," $ 85,506.00 "," $ 128,371.84 ",
Sales Tax (9.5%)," $ 79,887.57 ",,,,,,,
Construction Cost Subtotal:," $ 920,809.41 ",,,,,,,
CPO Management ," $ 48,064.00 ",,,,,,,
KPFF Phase #1," $ 29,945.35 ",," $ 53,872.00 ",,,,," $ 29,945.35 "
KPFF Phase #2," $ 111,836.65 ",," $ 70,000.00 "," $ 87,910.00 ",,,," $ 111,836.65 "
Design Contigency, $ -   ,," $ 5,000.00 ", $ -   ,,,,
New Shed/Simple Box," $ 8,666.01 ",, $ -   ," $ 10,000.00 "," $ 7,500.00 "," $ 10,000.00 ",," $ 8,666.01 "
Geo Tech, $ -   ,," $ 5,000.00 ",,,, $ -   ,
Northwest Cascade, $ 130.00 ,,,,,,, $ 130.00 
Shockey," $ 1,500.00 ",,,,,,," $ 1,500.00 "
Survey," $ 29,329.23 ",," $ 20,000.00 ",,,," $ 29,164.00 "," $ 29,329.23 "
Testing," $ 4,870.00 ",," $ 5,000.00 ",,,," $ 4,870.00 ",
Permit," $ 24,840.00 ",," $ 10,000.00 ",,,," $ 25,000.00 "," $ 24,840.00 "
Reprographics, $ -   ,," $ 1,500.00 ",,,,, $ -   
Principle Stipends," $ 2,187.32 ",," $ 3,000.00 ",,,,," $ 2,187.32 "
SEPA," $ 1,500.00 ",," $ 5,000.00 "," $ 2,000.00 ",,," $ 1,500.00 ",
Custodial, $ 613.56 ,," $ 2,000.00 ",,,," $ 1,000.00 ", $ 613.56 
Other Cost Subtotal:," $ 263,482.12 ",,,,,,,
Total Project Cost:," $ 1,184,291.53 ",,,,,,,
Remainder," $ 15,708.47 ",,,,,,,
Most Current Date, 12/17/15 Final ,,,,,,,
