TPE Cladding 2026,Most Current Budget,,4/2/2025 Est,,,,,,,,,,
Total Approved Project Budget," $ 750,000.00 ",,,,,,,,,,,,
Base Bid Plus Alts:," $ 500,000.00 ",," $ 500,000.00 ",,,,,,,,,,
Change orders," $ 50,000.00 ",," $ 50,000.00 ",,,,,,,,,,
Sales Tax (10.4%)," $ 58,300.00 ",,,,,,,,,,,,
Construction Cost Subtotal:," $ 608,300.00 ",,,,,,,,,,,,
CPO Management (10%)," $ 60,830.00 ",,,,,,,,,,,,
Arch," $ 50,000.00 ",," $ 50,000.00 ",,,,,,,,,,
Door, $ -   ,, $ -   ,,,,,,,,,,
Other Cost Subtotal:," $ 110,830.00 ",,,,,,,,,,,,
Total Project Cost:," $ 719,130.00 ",,,,,,,,,,,,
Remainder," $ 30,870.00 ",,,,,,,,,,,,
Most Current Date, 4/2/2025 Est ,,,,,,,,,,,,
,,,,,,,,,,,,,
TPE Boiler,Most Current Budget,,1/4/18 final,,,,,,,,,,
Total Approved Project Budget," $ 10,000.00 ",,,,,,,,,,,,
Base Bid Plus Alts:," $ 21,600.00 ",," $ 21,600.00 ",,,,,,,,,,
Construction Reserve (10%)," $ 6,300.00 ",," $ 6,300.00 ",,,,,,,,,,
Sales Tax (10.4%)," $ 2,901.60 ",,,,,,,,,,,,
Construction Cost Subtotal:," $ 30,801.60 ",,,,,,,,,,,,
CPO Management (7%)," $ 1,836.00 ",,,,,,,,,,,,
item 1, $ -   ,, $ -   ,,,,,,,,,,
itme 2, $ -   ,, $ -   ,,,,,,,,,,
Other Cost Subtotal:," $ 1,836.00 ",,,,,,,,,,,,
Total Project Cost:," $ 32,637.60 ",,,,,,,,,,,,
Remainder," $ (22,637.60)",,,,,,,,,,,,
Most Current Date, 1/4/18 final ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TPE Windows/doors,Most Current Budget,,1/4/18 final,,,,,,,,,,
Total Approved Project Budget," $ 30,000.00 ",,,,,,,,,,,,
Base Bid Plus Alts:," $ 29,100.00 ",," $ 29,100.00 ",,,,,,,,,,
Change orders," $ 9,000.00 ",," $ 9,000.00 ",,,,,,,,,,
Sales Tax (10.4%)," $ 3,962.40 ",,,,,,,,,,,,
Construction Cost Subtotal:," $ 42,062.40 ",,,,,,,,,,,,
CPO Management (7%)," $ 2,944.37 ",,,,,,,,,,,,
item 1, $ -   ,, $ -   ,,,,,,,,,,
itme 2, $ -   ,, $ -   ,,,,,,,,,,
Other Cost Subtotal:," $ 2,944.37 ",,,,,,,,,,,,
Total Project Cost:," $ 45,006.77 ",,,,,,,,,,,,
Remainder," $ (15,006.77)",,,,,,,,,,,,
Most Current Date, 1/4/18 final ,,,,,,,,,,,,
,,,,,,,,,,,,,
TP New Visitor Entry Way,Est Budget 11/23/2016,,11/23/2016,,,,,,,,,,
Total Approved Project Budget," $ 88,000.00 ",,,,,,,,,,,,
Base Bid Plus Alts:," $ 60,000.00 ",," $ 60,000.00 ",,,,,,,,,,
Construction Reserve (10%)," $ 6,000.00 ",," $ 6,000.00 ",,,,,,,,,,
Sales Tax (9.9%)," $ 6,270.00 ",,,,,,,,,,,,36969
Construction Cost Subtotal:," $ 72,270.00 ",,,,,,,,,,,,3697
CPO Management (8%)," $ 5,781.60 ",,,,,,,,,,,,8133
Permit city of MT," $ 2,000.00 ",," $ 2,000.00 ",,,,,,,,,,830
Reprographics/Print Doc's, $ 448.40 ,, $ 448.40 ,,,,,,,,,,3474
Custodian/Move," $ 1,500.00 ",," $ 1,500.00 ",,,,,,,,,,6372
Architects," $ 6,000.00 ",," $ 6,000.00 ",,,,,,,,,,
Other Cost Subtotal:," $ 15,730.00 ",,,,,,,,,,,,
Total Project Cost:," $ 88,000.00 ",,,,,,,,,,,,
Remainder, $ -   ,,,,,,,,,,,,
Most Current Date, Est Budget 11/23/2016 ,,,,,,,,,,,,
,,,,,,,,,,,,,
TPE Sign & Case,Most Current Budget,,D10 Quote 1/20/16,,,,,,,,,,
Total Approved Project Budget," $ 15,000.00 ",,,,,,,,,,,,
Base Bid Plus Alts:," $ 8,800.00 ",," $ 8,800.00 ",,,,,,,,,,
Construction Reserve (10%), $ 880.00 ,, $ 880.00 ,,,,,,,,,,
Sales Tax (9.5%), $ 919.60 ,,,,,,,,,,,,
Construction Cost Subtotal:," $ 10,599.60 ",,,,,,,,,,,,
CPO Management (7%), $ 741.97 ,,,,,,,,,,,,
Permit, $ 250.00 ,, $ 250.00 ,,,,,,,,,,
Design," $ 1,500.00 ",,," $ 1,500.00 ",,,,,,,,,
Reprographics, $ 100.00 ,, $ 100.00 ,,,,,,,,,,
Exterior Display Case (Installed)," $ 1,500.00 ",," $ 1,500.00 ",,,,,,,,,,
required landscaping, $ 500.00 ,, $ 500.00 ,,,,,,,,,,
Other Cost Subtotal:," $ 4,091.97 ",,,,,,,,,,,,
Total Project Cost:," $ 14,691.57 ",,,,,,,,,,,,
Remainder, $ 308.43 ,,,,,,,,,,,,
Most Current Date, D10 Quote 1/20/16 ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"Includes: 
3' tall x 6' wide double sided Metal Readerboard with 3 rows changable letters (each side) and graphical headers.
Sign mounted on two metal posts with top of sign mounted at 5' above grade
No interior illumination is included or allowed by code.
Code required Landscaping (~20 S.F.) around sign base could be installed by a parent group with materials purchased with project budget.

Exterior display case is 3' tall x 4' wide weathertight aluminum case with a clear anodized finish and a pinnable back surface. Price includes delivery and installation.
",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"Due to existing signs on site the city may not allow the readerboard but are open to reviewing a proposal per my last discussion with them.  I would recommend paying for design and permit documents and waiting to see if city will grant a permit before proceeding with this project.  If they deny a permit there will be no way to add a sign without eliminating an existing sign.

The display case does not require a permit and can be provided regardless.",,,,,,,,,,
