,,,
2020 Large Comm Readersboards ETC,Most Current Budget,,CPO Estimate
Total Approved Project Budget," $ 75,000.00 ",,
Base Bid Plus Alts:," $ 50,000.00 ",," $ 50,000.00 "
construction Reserve (10%)," $ 5,000.00 ",," $ 5,000.00 "
Sales Tax (10.5%)," $ 5,775.00 ",,
Construction Cost Subtotal:," $ 60,775.00 ",,
CPO Management (7%)," $ 4,254.25 ",,
Principal Stipends, $ -   ,,
Design," $ 5,000.00 ",," $ 5,000.00 "
Design Contigency, $ 500.00 ,, $ 500.00 
Permit, $ -   ,, $ -   
Consultant 01," $ 1,000.00 ",," $ 1,000.00 "
Consultant 02, $ -   ,, $ -   
Consultant 03, $ -   ,, $ -   
Maintenance," $ 1,000.00 ",," $ 1,000.00 "
Custodial," $ 1,000.00 ",," $ 1,000.00 "
Other," $ 1,470.75 ",," $ 1,470.75 "
Other Cost Subtotal:," $ 14,225.00 ",,
Total Project Cost:," $ 75,000.00 ",,
Remainder, $ -   ,,
Most Current Date, CPO Estimate ,,
,,,
2020 Soundsystems,Most Current Budget,,CPO Estimate
Total Approved Project Budget," $ 455,000.00 ",,
Base Bid Plus Alts:," $ 300,000.00 ",," $ 300,000.00 "
construction Reserve (10%)," $ 30,000.00 ",," $ 30,000.00 "
Sales Tax (10.5%)," $ 34,650.00 ",,
Construction Cost Subtotal:," $ 364,650.00 ",,
CPO Management (7%)," $ 25,525.50 ",,
Principal Stipends," $ 3,500.00 ",,
Design," $ 30,000.00 ",," $ 30,000.00 "
Design Contigency," $ 3,000.00 ",," $ 3,000.00 "
Permit," $ 1,000.00 ",," $ 1,000.00 "
Consultant 01," $ 1,000.00 ",," $ 1,000.00 "
Consultant 02," $ 1,000.00 ",," $ 1,000.00 "
Consultant 03," $ 1,000.00 ",," $ 1,000.00 "
Maintenance," $ 1,000.00 ",," $ 1,000.00 "
Custodial," $ 1,000.00 ",," $ 1,000.00 "
Other," $ 22,324.50 ",," $ 22,324.50 "
Other Cost Subtotal:," $ 90,350.00 ",,
Total Project Cost:," $ 455,000.00 ",,
Remainder, $ -   ,,
Most Current Date, CPO Estimate ,,
,,,
2020 Tech Infrastructure,Most Current Budget,,CPO Estimate
Total Approved Project Budget," $ 1,800,000.00 ",,
Base Bid Plus Alts:," $ 1,200,000.00 ",," $ 1,200,000.00 "
construction Reserve (10%)," $ 120,000.00 ",," $ 120,000.00 "
Sales Tax (10.5%)," $ 138,600.00 ",,
Construction Cost Subtotal:," $ 1,458,600.00 ",,
CPO Management (7%)," $ 102,102.00 ",,
Principal Stipends," $ 5,000.00 ",,
Design," $ 120,000.00 ",," $ 120,000.00 "
Design Contigency," $ 12,000.00 ",," $ 12,000.00 "
Permit," $ 36,000.00 ",," $ 36,000.00 "
Consultant 01," $ 20,000.00 ",," $ 20,000.00 "
Consultant 02," $ 15,000.00 ",," $ 15,000.00 "
Consultant 03," $ 10,000.00 ",," $ 10,000.00 "
Maintenance," $ 5,000.00 ",," $ 5,000.00 "
Custodial," $ 2,500.00 ",," $ 2,500.00 "
Other," $ 13,798.00 ",," $ 13,798.00 "
Other Cost Subtotal:," $ 341,400.00 ",,
Total Project Cost:," $ 1,800,000.00 ",,
Remainder, $ -   ,,
Most Current Date, CPO Estimate ,,
