,,,,,,,,,,,,,
WGE Playground,Most Current Budget,,Medium play web,,,,,,,,,,
Total Approved Project Budget," $ 50,000.00 ",,,,,,,,,,,,
Base Bid Plus Alts:," $ 32,297.86 ",," $ 32,297.86 ",,,,,,,,,,
Construction Reserve (10%)," $ 3,450.00 ",," $ 3,229.79 "," $ 3,450.00 ",,,,,,,,,
Sales Tax (10.54%)," $ 3,717.78 ",,,,,,,,,,,,
Construction Cost Subtotal:," $ 39,465.64 ",,,,,,,,,,,,
CPO Management (5%)," $ 1,973.28 ",,,,,,,,,,,,
 Permit , $ -   ,," $ 3,500.00 ", $ -   ,,,,,,,,,
 Gaga Ball Pit ," $ 5,000.00 ",," $ 5,000.00 ",,,,,,,,,,
,,,,,,,,,,,,,
Other Cost Subtotal:," $ 6,973.28 ",,,,,,,,,,,,
Total Project Cost:," $ 46,438.92 ",,,,,,,,,,,,
Remainder," $ 3,561.08 ",,,,,,,,,,,,
Most Current Date, Medium play web ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BEVE / WGE / MLE,Most Current Budget,,1/17/15 Est,10/6/15 Final,,,,,,,,,
Total Approved Project Budget," $ 450,000.00 ",,,,,,,,,,,,
Base Bid Plus Alts:," $ 350,445.95 ",," $ 341,259.11 "," $ 350,445.95 ",,,,,,,,,
Construction Reserve (10%)," $ 43,999.13 ",," $ 34,125.91 "," $ 43,999.13 ",,,,,,,,,
Sales Tax (9.5%)," $ 37,472.28 ",,,,,,,,,,,,
Construction Cost Subtotal:," $ 431,917.36 ",,,,,,,,,,,,
CPO Management (8%)," $ 34,553.39 ",,,,,,,,,,,,
Custodial," $ 2,000.00 ",," $ 5,000.00 "," $ 2,000.00 ",,,,,,,,,
Other Cost Subtotal:," $ 36,553.39 ",,,,,,,,,,,,
Total Project Cost:," $ 468,470.75 ",,,,,,,,,,,,
Remainder," $ (18,470.75)",,,,,,,,,,,,
Most Current Date, 10/6/15 Final ,,,,,,,,,,,,Smaller unity dome
,,,,,,,,,,,,,
,,,,,,,,,,,,," $ 24,192.41 "
,,,,,,,,,,,,," $ 2,419.24 "
